id,lemma vnisp,verbo/nome,derivazione,tratti disattesi,nuovo indice di galloitalicità,Afer,Assib,Degem,Deretr,Dissim,Ditt,Elim,Leniz,Palat,Vocal,afer.1,afer.1.b,assib.1.a,assib.1.b,assib.1.c,assib.2,assib.3,assib.4,assib.5,assib.6.a,assib.6.b,assib.6.c,assib.7,assib.8,assib.9,assib.10,assib.11,assib.12,assib.13,assib.14,assib.15,assib.16,assib.17,degem.1,degem.2,degem.3,degem.4,degem.5,degem.6,degem.7,degem.8,degem.9,degem.10,degem.11,degem.12,degem.13,degem.15,degem.16,degem.17,degem.18,degem.19,degem.19.b,degem.20,degem.22,degem.23,deretr.1,deretr.2,deretr.3,dissim.1,dissim.2,ditt.1.a,ditt.1.b,ditt.2.a,ditt.2.b,elim.1,elim.2,elim.3,elim.4.a,elim.4.b,elim.5,inf.1,inf.2,inf.3.a,inf.3.b.1,inf.3.b.2,inf.3.b.3,inf.3.b.4,inf.3.c,inf.3.d,inf.4,inf.5,inf.6,inf.7,leniz.1,leniz.2,leniz.3,leniz.4,leniz.5,leniz.6,leniz.7,leniz.8,leniz.9,leniz.10,leniz.11,leniz.12,leniz.13,leniz.13.b,leniz.14,leniz.15,leniz.16,leniz.17,leniz.19.a,leniz.19.b,leniz.19.c,leniz.19.d,leniz.19.e,leniz.19.f,leniz.19.g,leniz.19.h,leniz.20,palat.1,palat.2,palat.3,palat.4,palat.5,palat.6,palat.7,palat.8,palat.9,palat.10,palat.11,palat.12,palat.13,vocal.2.a,vocal.5.a,vocal.5.c,vocal.7.a,vocal.7.b,vocal.8.a,vocal.8.b,vocal.8.c,vocal.9.a,vocal.9.b,vocal.10,vocal.12,vocal.13
1832,giughè,verbo,giughè<-palat.3--giugàri<-leniz.1--giucàri<-degem.9--ggiucàri,assib.17 palat.1 vocal.13 vocal.2.a vocal.5.a vocal.7.a vocal.8.a,0.222,no,no,sì,no,no,no,no,sì,sì,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,no
1833,giugnë̀tö,nome,giugnë̀tö<-vocal.5.a--giugnë̀tu<-vocal.10--giugnìtu<-degem.9--ggiugnìtu<-degem.2--ggiugnìttu,assib.17 degem.1 vocal.8.a,0.571,no,no,sì,no,no,no,no,no,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,sì,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,NA,NA,NA,NA,sì,NA,NA
1834,giugàda,nome,giugàda<-leniz.5--giugàta<-leniz.1--giucàta<-elim.4.b--iucàta,elim.4.a vocal.5.a vocal.8.a,0.500,no,no,no,no,no,no,sì,sì,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
1835,giuramë̀ntö,nome,giuramë̀ntö<-vocal.5.a--giuramë̀ntu<-vocal.10--giuramìntu<-elim.4.b--iuramìntu,elim.4.a vocal.12 vocal.8.a,0.500,no,no,no,no,no,no,sì,no,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,NA,NA,NA,NA,sì,no,NA
1836,giurà,nome,giurà<-leniz.7--giuràtu<-elim.4.b--iuràtu,elim.4.a leniz.5 vocal.5.a vocal.8.a,0.333,no,no,no,no,no,no,sì,sì,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
1837,giurè,verbo,giurè<-palat.5--giuràri<-degem.9--ggiuràri,assib.17 vocal.13 vocal.2.a vocal.5.a vocal.7.a vocal.8.a,0.250,no,no,sì,no,no,no,no,no,sì,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,no
1838,giustè,verbo,giustè<-palat.5--giustàri<-degem.9--ggiustàri,assib.17 vocal.13 vocal.2.a vocal.5.a vocal.7.a vocal.8.a,0.250,no,no,sì,no,no,no,no,no,sì,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,no
1839,giustìzzia,nome,giustìzzia<-degem.9--ggiustìzzia,assib.17 vocal.10 vocal.5.a vocal.8.a,0.200,no,no,sì,no,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA
1840,giuòghjö,nome,giuòghjö<-vocal.5.a--giuòghju<-degem.9--ggiuògghju,assib.17 vocal.8.a,0.500,no,no,sì,no,no,no,no,no,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
1841,giuògö,nome,giuògö<-vocal.5.a--giuògu<-leniz.1--giuòcu<-elim.4.b--iuòcu,elim.4.a vocal.8.a vocal.8.b,0.500,no,no,no,no,no,no,sì,sì,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA
1842,giàca,nome,giàca<-degem.9--ggiàca<-degem.7--ggiàcca,assib.17,0.667,no,no,sì,no,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,sì,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,giàghenö,nome,giàghenö<-vocal.8.c--giàgunö<-vocal.5.a--giàgunu<-leniz.1--giàcunu<-elim.4.b--iàcunu,elim.4.a vocal.8.a vocal.8.b,0.500,no,no,no,no,no,no,sì,sì,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,no,sì,NA,NA,NA,NA,NA
1844,giàgönö,nome,giàgönö<-vocal.5.a--giàgunu<-leniz.1--giàcunu<-elim.4.b--iàcunu,elim.4.a vocal.8.a vocal.8.b,0.500,no,no,no,no,no,no,sì,sì,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA
1845,giàrda,nome,giàrda<-degem.9--ggiàrda,assib.17,0.500,no,no,sì,no,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,giàrra,nome,giàrra<-degem.9--ggiàrra,assib.17,0.500,no,no,sì,no,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1847,giàzzö,nome,giàzzö<-vocal.5.a--giàzzu<-elim.4.b--iàzzu,elim.4.a vocal.8.a,0.500,no,no,no,no,no,no,sì,no,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
1848,giòia,nome,giòia<-degem.9--ggiòia,assib.17 ditt.2.b,0.333,no,no,sì,no,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,giöchè,verbo,giöchè<-vocal.5.a--giuchè<-degem.9--ggiuchè<-degem.8--ggiuccàri<-afer.1--aggiuccàri,assib.17 degem.7 palat.1 vocal.13 vocal.2.a vocal.7.a vocal.8.a,0.364,sì,no,sì,no,no,no,no,no,no,sì,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,sì,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,no,NA,no,NA,NA,NA,NA,NA,NA,no
1850,giödìa,nome,giödìa<-vocal.5.a--giudìa<-elim.4.b--iudìa,elim.4.a vocal.10 vocal.8.a,0.400,no,no,no,no,no,no,sì,no,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA
1851,giödìzziö,nome,giödìzziö<-vocal.5.a--giudìzziu<-degem.9--ggiudìzziu,assib.17 vocal.10 vocal.8.a,0.400,no,no,sì,no,no,no,no,no,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA
1852,giöfà,nome,giöfà<-vocal.5.a--giufà<-degem.9--ggiufà,assib.17 vocal.8.a,0.500,no,no,sì,no,no,no,no,no,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
1853,giöngedìna,nome,giöngedìna<-vocal.7.b--giöngidìna<-vocal.5.a--giungidìna<-leniz.5--giungitìna<-elim.4.b--iungitìna,assib.10 elim.4.a vocal.10 vocal.8.a,0.500,no,no,no,no,no,no,sì,sì,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,sì,no,NA,NA,NA,NA,no,NA,NA
1854,giöntè,verbo,giöntè<-vocal.5.a--giuntè<-palat.5--giuntàri<-degem.9--ggiuntàri,assib.17 vocal.13 vocal.2.a vocal.7.a vocal.8.a,0.375,no,no,sì,no,no,no,no,no,sì,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,no,NA,no,NA,NA,NA,NA,NA,NA,no
1855,giörnalìsta,nome,giörnalìsta<-vocal.5.a--giurnalìsta<-degem.9--ggiurnalìsta,assib.17 leniz.12 vocal.10 vocal.12 vocal.8.a,0.286,no,no,sì,no,no,no,no,no,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,NA,NA,NA,NA,no,no,NA
1856,giörnatàrö,nome,giörnatàrö<-vocal.5.a--giurnatàru<-elim.4.b--iurnatàru,elim.4.a leniz.5 vocal.12 vocal.8.a,0.333,no,no,no,no,no,no,sì,no,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA
1857,giörnàda,nome,giörnàda<-vocal.5.a--giurnàda<-leniz.5--giurnàta<-elim.4.b--iurnàta,elim.4.a vocal.8.a,0.600,no,no,no,no,no,no,sì,sì,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
1858,giörnàle,nome,giörnàle<-vocal.7.a--giörnàli<-vocal.5.a--giurnàli<-degem.9--ggiurnàli,assib.17 leniz.12 vocal.13 vocal.2.a vocal.8.a vocal.9.b,0.333,no,no,sì,no,no,no,no,no,no,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sì,NA,sì,NA,no,NA,NA,NA,no,NA,NA,no
